i,Qual,tx,ty,o1x,o1y,o2x,o2y,o3x,o3y,px,py,pz,qx,qy,qz,qw
167,5,-13.8614,-13.0877,-19.8249,-18.7729,-19.927,-18.8925,-29.0192,-29.5488,16.8676,46.252,49.0068,0.0161266,0.97716,-0.203409,-0.0593501
168,4,-12.3392,-12.0909,-17.8533,-18.5793,-17.9495,-18.6998,-26.4686,-29.3793,17.0574,46.1915,49.0187,0.012503,0.976541,-0.208011,-0.0542476
169,8,-12.3392,-12.0909,-17.8533,-18.5793,-17.9495,-18.6998,-26.4686,-29.3793,17.0574,46.1915,49.0187,0.012503,0.976541,-0.208011,-0.0542476
170,0,-9.48411,-11.8235,-17.8533,-18.5793,-17.9495,-18.6998,-26.4686,-29.3793,17.3119,46.0448,48.9459,0.00753703,0.97699,-0.20876,-0.0430505
171,8,-9.48411,-11.8235,-15.5508,-18.099,-15.6387,-18.2196,-23.3707,-28.833,17.3119,46.0448,48.9459,0.00753703,0.97699,-0.20876,-0.0430505
172,0,-7.96344,-10.9186,-15.5508,-18.099,-15.6387,-18.2196,-23.3707,-28.833,17.4728,45.9872,49.0038,0.00385787,0.976389,-0.212692,-0.0375864
173,5,-7.17247,-10.7619,-13.6213,-17.4791,-13.701,-17.599,-20.6724,-28.0775,17.573,45.933,49.0156,0.00220351,0.976412,-0.213084,-0.0347823
174,8,-7.56405,-10.7962,-13.6213,-17.4791,-13.701,-17.599,-20.6724,-28.0775,17.5428,45.9536,49.0232,0.00256644,0.976359,-0.213038,-0.0364843
175,0,-6.36072,-10.5918,-13.6213,-17.4791,-13.701,-17.599,-20.6724,-28.0775,17.6876,45.871,49.0291,0.000549134,0.976425,-0.213474,-0.0319778
176,5,-4.62089,-8.86525,-11.1998,-16.7371,-11.2693,-16.8559,-17.3032,-27.1784,17.8201,45.826,49.0532,-0.00159206,0.974851,-0.221505,-0.0244768
177,8,-4.62089,-8.86525,-11.1998,-16.7371,-11.2693,-16.8559,-17.3032,-27.1784,17.8201,45.826,49.0532,-0.00159206,0.974851,-0.221505,-0.0244768
178,5,-3.48559,-9.2212,-7.22497,-14.5913,-7.27232,-14.7046,-11.337,-24.4314,17.9129,45.8094,49.0146,-0.00261895,0.975357,-0.219747,-0.0195703
179,8,-3.05138,-9.98515,-7.22497,-14.5913,-7.27232,-14.7046,-11.337,-24.4314,17.9956,45.7628,48.9591,-0.0029032,0.976249,-0.215877,-0.0180873
180,0,-2.21358,-9.58273,-7.22497,-14.5913,-7.27232,-14.7046,-11.337,-24.4314,18.093,45.7771,48.9398,-0.00364576,0.975836,-0.217983,-0.0146632
181,5,-1.42082,-10.9205,-5.91991,-13.6588,-5.95863,-13.7692,-9.27104,-23.2171,18.216,45.8936,48.8005,-0.0037801,0.977048,-0.21267,-0.0115899
182,8,-1.69186,-9.36473,-5.91991,-13.6588,-5.95863,-13.7692,-9.27104,-23.2171,18.1416,45.7717,48.8621,-0.00287152,0.975588,-0.21926,-0.0120354
183,5,-0.723826,-12.1359,-4.73874,-13.3562,-4.7725,-13.4662,-7.6554,-22.8599,18.2794,45.9537,48.7288,-0.0039143,0.978222,-0.207348,-0.00851615
