id,quality,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ellipseX,ellipseY
37,5,39329,12.5587,-18.3115,12.3623,-19.066,12.5107,-18.8167,11.1979,-11.4269,19.2818,28.2032,66.8486,-0.000713498,0.996663,0.0660371,0.0479836,297.777,301.447
38,0,39374,14.1514,-18.2058,12.3623,-19.066,12.5107,-18.8167,11.1979,-11.4269,19.3047,28.2032,66.7929,-0.000361932,0.996305,0.0653826,0.0556851,297.777,301.447
39,5,39394,15.8548,-16.1463,14.5083,-17.1969,14.6577,-16.8,13.5132,-9.59331,19.3624,28.1518,66.7184,-0.000265341,0.996415,0.0555312,0.0638304,294.392,299.665
40,0,39457,17.5011,-14.1458,14.5083,-17.1969,14.6577,-16.8,13.5132,-9.59331,19.3807,28.1355,66.6948,-0.000168707,0.996361,0.0456707,0.0719653,294.392,299.665
41,5,39512,18.2149,-12.5675,17.5295,-12.8822,17.6902,-12.2914,16.7991,-5.31683,19.4031,28.1018,66.7331,0.00035772,0.99642,0.0380313,0.075507,289.777,295.533
42,4,39540,18.9636,-10.9431,18.4805,-10.6638,18.6456,-10.033,17.847,-3.10441,19.447,28.0356,66.8083,0.000884121,0.996408,0.0303892,0.0790432,288.375,293.399
43,5,39593,18.8906,-9.58014,18.9932,-9.45741,19.1625,-8.81707,18.412,-1.90117,19.4505,28.0087,66.83,-0.000276266,0.996612,0.0239312,0.078683,287.635,292.271
44,4,39607,18.8257,-8.10618,19.6388,-4.06671,19.7873,-3.51111,19.1844,3.51278,19.4636,27.907,66.912,-0.00143664,0.996774,0.0174722,0.0783193,286.891,287.066
45,4,39689,18.9786,-4.82034,19.1982,-7.71086,19.3601,-7.08161,18.6578,-0.146995,19.4626,27.7848,66.9816,-0.00265306,0.996851,0.00207805,0.0792211,287.387,290.536
46,5,39730,19.4192,-2.72469,19.7186,-3.42173,19.865,-2.88633,19.2795,4.16048,19.4666,27.7745,66.903,-0.0014435,0.99664,-0.00847937,0.0814512,286.807,286.474
47,0,39757,19.878,-0.623339,19.7186,-3.42173,19.865,-2.88633,19.2795,4.16048,19.4726,27.7587,66.7837,-0.000233776,0.996312,-0.0190358,0.0836717,286.807,286.474
48,5,39824,19.4576,0.735265,18.9944,0.76086,19.0827,1.10098,18.5739,8.38891,19.4701,27.7335,66.7863,-0.000249514,0.996331,-0.0256578,0.081645,288.104,282.458
49,0,39841,19.0292,2.20412,18.9944,0.76086,19.0827,1.10098,18.5739,8.38891,19.4602,27.634,66.7967,-0.00026524,0.996303,-0.0322785,0.0796144,288.104,282.458
50,0,39924,17.1048,5.30497,18.9944,0.76086,19.0827,1.10098,18.5739,8.38891,19.4129,27.541,66.8284,-0.000782487,0.9964,-0.047122,0.0704742,288.104,282.458
51,5,39951,16.7611,5.61318,17.259,4.90861,17.2457,4.96976,16.7905,12.6052,19.3789,27.511,66.8091,-0.000188931,0.996435,-0.0485061,0.0690225,290.908,278.466
52,0,39990,16.4335,5.90821,17.259,4.90861,17.2457,4.96976,16.7905,12.6052,19.3553,27.4902,66.7958,0.000404626,0.996466,-0.04989,0.0675705,290.908,278.466
53,5,40077,13.7457,9.00656,12.8826,10.6585,12.6443,10.2138,12.2191,18.4949,19.305,27.4386,66.8272,-5.1272e-05,0.99639,-0.0650577,0.0545367,297.752,273.039
54,5,40077,12.6722,10.5508,12.8826,10.6585,12.6443,10.2138,12.2191,18.4949,19.2384,27.375,66.8288,-0.000479147,0.996148,-0.0722976,0.0496273,297.752,273.039
55,5,40145,11.3847,10.3578,10.5131,11.7869,10.1802,11.232,9.71289,19.685,19.2405,27.413,66.7136,-0.000489897,0.996491,-0.0716978,0.0431845,301.297,271.769
56,5,40145,9.62901,12.0412,10.5131,11.7869,10.1802,11.232,9.71289,19.685,19.1511,27.3418,66.792,-0.000517876,0.996211,-0.0795963,0.0350365,301.297,271.769
57,5,40214,7.71415,12.6676,7.70337,13.1258,7.26517,12.438,6.741,21.0971,19.1364,27.3274,66.851,-0.000558569,0.99625,-0.0826548,0.0255679,305.541,270.396
58,5,40214,6.30494,12.5538,7.70337,13.1258,7.26517,12.438,6.741,21.0971,19.0516,27.3145,66.7849,-0.00056924,0.996445,-0.0820434,0.0191202,305.541,270.396
59,0,40274,4.3799,13.1762,7.70337,13.1258,7.26517,12.438,6.741,21.0971,19.0232,27.3038,66.7995,-0.000609843,0.996327,-0.0850888,0.00964808,305.541,270.396
60,5,40294,3.14423,14.1512,4.90053,13.8457,4.37749,13.0908,3.76676,21.8857,18.9558,27.2599,66.8949,-0.000291569,0.995971,-0.0895945,0.00392825,309.751,269.571
61,0,40349,1.97649,15.0863,4.90053,13.8457,4.37749,13.0908,3.76676,21.8857,18.9313,27.244,66.9296,2.67208e-05,0.995562,-0.0940954,-0.00179179,309.751,269.571
62,5,40378,-0.097229,13.9268,0.947223,13.5431,0.353884,12.8355,-0.449015,21.6707,18.8659,27.2861,66.8338,5.72527e-05,0.99599,-0.0886866,-0.0117376,315.689,269.455
63,5,40424,-2.1317,12.7978,-1.27994,13.3009,-1.89801,12.6255,-2.82517,21.4773,18.8247,27.3126,66.7734,8.77772e-05,0.996291,-0.0832664,-0.0216819,319.074,269.551
64,8,40424,-2.1317,12.7978,-1.27994,13.3009,-1.89801,12.6255,-2.82517,21.4773,18.8247,27.3126,66.7734,8.77772e-05,0.996291,-0.0832664,-0.0216819,319.074,269.551
65,0,40490,-5.5821,11.7057,-1.27994,13.3009,-1.89801,12.6255,-2.82517,21.4773,18.7459,27.3311,66.779,-0.00214513,0.996215,-0.0779555,-0.0383946,319.074,269.551
66,5,40510,-5.47694,10.615,-4.13548,12.2659,-4.75081,11.6969,-5.88312,20.4998,18.7175,27.3484,66.9145,0.000564754,0.996653,-0.0725441,-0.0376848,323.427,270.257
67,5,40595,-7.51467,10.4659,-7.85419,9.93354,-8.40659,9.56144,-9.88089,18.2355,18.7045,27.3687,66.7538,-0.000541326,0.996258,-0.0719497,-0.0478757,329.199,272.095
68,5,40595,-7.44266,9.34387,-7.85419,9.93354,-8.40659,9.56144,-9.88089,18.2355,18.6525,27.4103,66.8219,0.0021687,0.996666,-0.0665359,-0.0471646,329.199,272.095
69,0,40640,-9.53191,9.15892,-7.85419,9.93354,-8.40659,9.56144,-9.88089,18.2355,18.6078,27.4563,66.695,0.00106255,0.996174,-0.0659346,-0.0573507,329.199,272.095
70,5,40693,-10.469,7.57557,-10.9005,6.93925,-11.3366,6.75666,-13.1728,15.2893,18.5958,27.4704,66.6978,0.000386157,0.996384,-0.0581243,-0.0619728,334.013,274.647
71,0,40707,-11.454,5.93443,-10.9005,6.93925,-11.3366,6.75666,-13.1728,15.2893,18.5506,27.5237,66.7084,-0.000290264,0.996511,-0.0503092,-0.0665898,334.013,274.647
72,5,40768,-12.281,4.76516,-12.6723,4.00987,-12.9853,3.95587,-15.1061,12.3795,18.5293,27.5313,66.7899,-9.10546e-05,0.996517,-0.044451,-0.0705532,336.923,277.219
73,0,40790,-13.1771,3.58067,-12.6723,4.00987,-12.9853,3.95587,-15.1061,12.3795,18.4701,27.5526,67.0161,0.00010816,0.996473,-0.0385906,-0.0745131,336.923,277.219
74,5,40853,-13.5833,1.49806,-14.2336,0.256785,-14.385,0.292742,-16.8282,8.63552,18.4693,27.5642,66.9915,0.000318788,0.996666,-0.028201,-0.0765645,339.6,280.658
