Right Eye Position (x,y,z),Right Eye Forward Vector (x,y,z),Head Position (x,y,z),Head Rotation axis (x,y,z),Head Rotation angle ,Absolute intersection (x,y,z) ,Relative intersection (x,y,z) ,Interacted Object ID,timeStamp in ms
3.00998,-1.67304,-2.08802,-0.485927,-0.207943,0.848902,19.2346,28.345,70.3872,0.0823329,0.990938,0.106129,217.733,7.3335,16.9881,0,299.044,387.264,0,0,2366
3.00998,-1.67304,-2.08802,-0.485927,-0.207943,0.848902,19.2346,28.345,70.3872,0.0823329,0.990938,0.106129,217.733,7.3335,16.9881,0,299.044,387.264,0,0,2433
2.77641,-1.51381,-2.29125,-0.839652,0.0344,0.542035,19.2866,27.516,69.3175,0.0240372,0.996545,0.0794971,209.01,7.3335,16.9881,0,299.044,387.264,0,0,2500
2.85444,-1.57921,-2.19406,-0.721383,-0.0644283,0.689533,19.9151,27.4587,69.0271,0.0125727,0.996892,0.0777673,205.497,46.8975,22.9797,0,1912.37,142.939,0,0,2550
2.949,-1.62312,-2.11768,-0.578062,-0.130767,0.805447,22.1815,27.3502,68.2509,-0.020801,0.996431,0.0818126,193.916,46.8975,22.9797,0,1912.37,142.939,0,0,2616
3.06635,-1.64948,-2.05506,-0.400255,-0.170662,0.900372,23.9595,27.2135,67.9371,-0.041521,0.996843,0.0676693,185.116,46.8975,22.9797,0,1912.37,142.939,0,0,2684
3.1874,-1.6507,-2.01513,-0.216863,-0.172552,0.960831,25.1141,27.2374,67.7083,-0.0479675,0.996339,0.0707599,181.095,40.8341,17.8556,0,1665.12,351.888,0,0,2750
3.1874,-1.6507,-2.01513,-0.216863,-0.172552,0.960831,25.1141,27.2374,67.7083,-0.0479675,0.996339,0.0707599,181.095,40.8341,17.8556,0,1665.12,351.888,0,0,2800
3.40699,-1.63831,-2.00164,0.115842,-0.153769,0.981293,28.3183,27.3001,67.8651,-0.0678665,0.996284,0.0530308,167.655,36.611,16.196,0,1492.92,419.564,0,0,2867
3.5178,-1.58588,-2.01833,0.283656,-0.0742659,0.956046,30.5035,27.3488,68.0568,-0.0825361,0.995221,0.0521816,155.024,41.4016,21.5508,0,1688.27,201.206,0,0,2934
3.5178,-1.58588,-2.01833,0.283656,-0.0742659,0.956046,30.5035,27.3488,68.0568,-0.0825361,0.995221,0.0521816,155.024,41.4016,21.5508,0,1688.27,201.206,0,0,3000
3.5178,-1.58588,-2.01833,0.283656,-0.0742659,0.956046,30.5035,27.3488,68.0568,-0.0825361,0.995221,0.0521816,155.024,41.4016,21.5508,0,1688.27,201.206,0,0,3050
3.5178,-1.58588,-2.01833,0.283656,-0.0742659,0.956046,30.5035,27.3488,68.0568,-0.0825361,0.995221,0.0521816,155.024,41.4016,21.5508,0,1688.27,201.206,0,0,3117
3.5178,-1.58588,-2.01833,0.283656,-0.0742659,0.956046,30.5035,27.3488,68.0568,-0.0825361,0.995221,0.0521816,155.024,41.4016,21.5508,0,1688.27,201.206,0,0,3183
