Right Eye Position (x,y,z),Right Eye Forward Vector (x,y,z),Head Position (x,y,z),Head Rotation axis (x,y,z),Head Rotation angle ,Relative intersection (x,y,z) ,Absolute intersection (x,y,z) ,Interacted Object ID,timeStamp in ms
3.06102,-1.85506,-2.21124,-0.322299,-0.0636001,0.944499,28.4637,21.9032,70.1599,0.0181626,0.999776,0.0108636,161.199,1919.14,496.738,0,47.0633,14.3034,0,0,14749
3.06178,-1.85474,-2.21096,-0.321144,-0.0631247,0.944924,28.5026,21.8696,70.3053,0.0196414,0.999735,0.0120094,160.718,1919.14,496.738,0,47.0633,14.3034,0,0,14766
3.06481,-1.8558,-2.21001,-0.316558,-0.0647277,0.946362,28.5384,21.8985,70.1337,0.0201817,0.999759,0.00861847,160.226,1919.14,496.738,0,47.0633,14.3034,0,0,14816
3.06536,-1.85533,-2.2098,-0.315729,-0.0640197,0.946687,28.5749,21.9085,70.0987,0.0191493,0.999774,-0.00923392,161.829,1919.14,496.738,0,47.0633,14.3034,0,0,14832
3.0667,-1.85478,-2.20931,-0.3137,-0.0631815,0.947418,28.5975,21.8951,70.3375,0.0214927,0.999688,0.0126925,160.772,1919.14,496.738,0,47.0633,14.3034,0,0,14866
3.0667,-1.85478,-2.20931,-0.3137,-0.0631815,0.947418,28.5975,21.8951,70.3375,0.0214927,0.999688,0.0126925,160.772,1919.14,496.738,0,47.0633,14.3034,0,0,14899
3.06703,-1.85425,-2.20917,-0.313192,-0.0623766,0.947639,28.595,21.9172,70.1852,0.0219847,0.99969,0.0117151,160.371,1919.14,496.738,0,47.0633,14.3034,0,0,14932
3.06764,-1.8546,-2.20899,-0.312274,-0.0629096,0.947907,28.6013,21.863,70.4222,0.0230311,0.99966,0.0122355,160.85,1919.14,496.738,0,47.0633,14.3034,0,0,14949
3.06696,-1.85301,-2.20911,-0.3133,-0.0605022,0.947725,28.5893,21.8527,70.3156,0.0241873,0.999604,0.0144057,160.679,1919.14,496.738,0,47.0633,14.3034,0,0,15000
3.06696,-1.85301,-2.20911,-0.3133,-0.0605022,0.947725,28.5893,21.8527,70.3156,0.0241873,0.999604,0.0144057,160.679,1919.14,496.738,0,47.0633,14.3034,0,0,15016
